YEAR	DOY	HOUR	PAR	Swdown	TEMP	STEMP	RH	RAIN	WIND	PRESSURE	aCO2_AW	amb_co2	date	moy	dom
1999	1	0	0	0	-2.401	-1.597	83.81	0	1.25	101300	375.9514	460.7999878	1999-01-01	1	1
1999	1	1	0	0	-2.985	-1.8	84.39	0	0.7	101300	375.9514	468.0799866	1999-01-01	1	1
1999	1	2	0	0	-3.492	-1.976	88.2	0	1.3	101300	375.9514	474.5799866	1999-01-01	1	1
1999	1	3	0	0	-4.157	-2.185	92.92	0	1.6	101300	375.9514	477.3299866	1999-01-01	1	1
1999	1	4	15.21	0	-4.672	-2.431	94.82	0	1.7	101300	375.9514	479.3999939	1999-01-01	1	1
1999	1	5	9.51	0	-5.225	-2.633	95.11	0	1.9	101300	375.9514	481.2999878	1999-01-01	1	1
1999	1	6	7.61	0	-5.619	-2.906	94.88	0	1.8	101300	375.9514	476.8999939	1999-01-01	1	1
1999	1	7	28.53	0	-5.937	-3.082	93.84	0	2.4	101300	375.9514	453.230011	1999-01-01	1	1
1999	1	8	32.33	76	-6.106	-3.2	94.44	0	2.2	101300	375.9514	418.7000122	1999-01-01	1	1
1999	1	9	108.4	165	-4.725	-2.43	89.7	0	3.3	101300	375.9514	394.980011	1999-01-01	1	1
1999	1	10	127.4	378	-2.762	-0.951	72.89	0	3.4	101300	375.9514	381.8900146	1999-01-01	1	1
1999	1	11	283.26	473	-0.626	0.953	59.34	0	3.9	101300	375.9514	376.1199951	1999-01-01	1	1
1999	1	12	397.22	413	0.634	4.09	55.25	0	2.9	101300	375.9514	372.2200012	1999-01-01	1	1
1999	1	13	402.89	341	1.717	6.156	52.05	0	3.1	101300	375.9514	370	1999-01-01	1	1
1999	1	14	368.58	217	2.974	7.25	48.73	0	3.7	101300	375.9514	368.7999878	1999-01-01	1	1
1999	1	15	277.38	137	3.234	5.962	44.05	0	3.8	101300	375.9514	367.6499939	1999-01-01	1	1
1999	1	16	159.59	41	3.679	5.498	43.82	0	4.4	101300	375.9514	367.7099915	1999-01-01	1	1
1999	1	17	112.09	1	3.488	4.035	45.25	0	4.6	101300	375.9514	371.2200012	1999-01-01	1	1
1999	1	18	3.8	0	2.995	2.91	47.87	0	4	101300	375.9514	381.3699951	1999-01-01	1	1
1999	1	19	0	0	2.604	2.51	49.66	0	4.2	101300	375.9514	399.8399963	1999-01-01	1	1
1999	1	20	0	0	2.428	2.317	50.3	0	3.9	101300	375.9514	416.9100037	1999-01-01	1	1
1999	1	21	13.3	0	2.256	2.214	52.86	0	3.9	101300	375.9514	432.9200134	1999-01-01	1	1
1999	1	22	3.8	0	2.001	2.143	53.35	0	3.9	101300	375.9514	445.2200012	1999-01-01	1	1
1999	1	23	7.6	0	1.885	2.199	52.81	0	3.7	101300	375.9514	453.1400146	1999-01-01	1	1
1999	2	0	0	0	1.688	1.805	52.7	0	3	101300	375.9514	460.7999878	1999-01-02	1	2
1999	2	1	0	0	1.574	1.989	54.71	0	2.8	101300	375.9514	468.0799866	1999-01-02	1	2
1999	2	2	0	0	1.615	2.28	56.38	0	3.2	101300	375.9514	474.5799866	1999-01-02	1	2
1999	2	3	0	0	1.802	2.256	56.52	0	3.3	101300	375.9514	477.3299866	1999-01-02	1	2
1999	2	4	0	0	1.726	1.478	60.48	0	3.2	101300	375.9514	479.3999939	1999-01-02	1	2
1999	2	5	0	0	1.318	1.482	67.19	0.25	3.3	101300	375.9514	481.2999878	1999-01-02	1	2
1999	2	6	1.9	0	1.37	1.205	64.97	0	2.8	101300	375.9514	476.8999939	1999-01-02	1	2
1999	2	7	0	3	1.04	0.786	69.06	0	2	101300	375.9514	453.230011	1999-01-02	1	2
1999	2	8	13.3	24	0.112	0.358	79.17	0	3	101300	375.9514	418.7000122	1999-01-02	1	2
1999	2	9	81.72	62	0.348	1.775	81.22	0	2.1	101300	375.9514	394.980011	1999-01-02	1	2
1999	2	10	119.73	59	1.882	3.549	75.53	0	1.9	101300	375.9514	381.8900146	1999-01-02	1	2
1999	2	11	114.02	75	3.965	4.874	63.61	0	1.9	101300	375.9514	376.1199951	1999-01-02	1	2
1999	2	12	125.39	94	4.321	5.333	68.8	0	2.8	101300	375.9514	372.2200012	1999-01-02	1	2
1999	2	13	212.78	44	5.446	6.958	63.01	0	2.6	101300	375.9514	370	1999-01-02	1	2
1999	2	14	138.66	66	6.373	7.189	61.27	0	2.2	101300	375.9514	368.7999878	1999-01-02	1	2
1999	2	15	157.63	84	7.112	7.621	62.45	0	2.6	101300	375.9514	367.6499939	1999-01-02	1	2
1999	2	16	150.03	10	8.16	8.301	63.3	0	1.7	101300	375.9514	367.7099915	1999-01-02	1	2
1999	2	17	34.18	0	8.232	7.266	65.81	0	1.2	101300	375.9514	371.2200012	1999-01-02	1	2
1999	2	18	3.8	0	7.865	6.573	83.15	2.54	5.7	101300	375.9514	381.3699951	1999-01-02	1	2
1999	2	19	0	0	6.049	5.863	91.55	3.56	5.2	101300	375.9514	399.8399963	1999-01-02	1	2
1999	2	20	0	0	5.363	5.441	92.52	2.54	4.5	101300	375.9514	416.9100037	1999-01-02	1	2
1999	2	21	28.49	0	4.883	5.27	94.45	1.52	3.5	101300	375.9514	432.9200134	1999-01-02	1	2
1999	2	22	26.59	0	4.383	5.057	94.98	1.02	4.2	101300	375.9514	445.2200012	1999-01-02	1	2
1999	2	23	20.9	0	4.229	4.707	93.89	0.76	4.7	101300	375.9514	453.1400146	1999-01-02	1	2
1999	3	0	0	0	4.481	4.723	93.26	0.76	4.3	101300	375.9514	460.7999878	1999-01-03	1	3
1999	3	1	0	0	4.533	4.79	94.04	0	4.2	101300	375.9514	468.0799866	1999-01-03	1	3
1999	3	2	0	0	3.969	4.535	89.26	0	3.7	101300	375.9514	474.5799866	1999-01-03	1	3
1999	3	3	0	0	2.571	3.696	82.78	0	4.8	101300	375.9514	477.3299866	1999-01-03	1	3
1999	3	4	0	0	1.187	2.73	80.12	0	5.3	101300	375.9514	479.3999939	1999-01-03	1	3
1999	3	5	0	0	0.064	2.019	78.22	0	5.4	101300	375.9514	481.2999878	1999-01-03	1	3
1999	3	6	0	0	-0.951	1.348	74.31	0	5.3	101300	375.9514	476.8999939	1999-01-03	1	3
1999	3	7	19.01	0	-1.721	0.792	72.18	0	4	101300	375.9514	453.230011	1999-01-03	1	3
1999	3	8	28.51	32	-2.131	0.665	73.37	0	3.3	101300	375.9514	418.7000122	1999-01-03	1	3
1999	3	9	79.82	108	-2.888	0.293	68.2	0	4.1	101300	375.9514	394.980011	1999-01-03	1	3
1999	3	10	114.03	289	-3.478	0.439	65.81	0	3.9	101300	375.9514	381.8900146	1999-01-03	1	3
1999	3	11	182.45	313	-4.056	0.677	63.11	0	4.1	101300	375.9514	376.1199951	1999-01-03	1	3
1999	3	12	273.67	218	-3.878	1.544	63.58	0	3.4	101300	375.9514	372.2200012	1999-01-03	1	3
1999	3	13	229.96	141	-3.806	1.615	67.05	0	3.5	101300	375.9514	370	1999-01-03	1	3
1999	3	14	290.77	143	-3.494	2.103	59.03	0	3.4	101300	375.9514	368.7999878	1999-01-03	1	3
1999	3	15	241.36	97	-3.57	1.618	55.47	0	3.7	101300	375.9514	367.6499939	1999-01-03	1	3
1999	3	16	127.33	88	-3.94	0.555	55.33	0	4.4	101300	375.9514	367.7099915	1999-01-03	1	3
1999	3	17	114.03	14	-3.948	-0.162	54.69	0	3.7	101300	375.9514	371.2200012	1999-01-03	1	3
1999	3	18	58.92	0	-4.682	-1.07	54.62	0	3.5	101300	375.9514	381.3699951	1999-01-03	1	3
1999	3	19	0	0	-5.006	-1.211	56.36	0	3.3	101300	375.9514	399.8399963	1999-01-03	1	3
1999	3	20	0	0	-5.207	-1.294	61.79	0	3.7	101300	375.9514	416.9100037	1999-01-03	1	3
1999	3	21	0	0	-5.938	-1.696	60	0	3.9	101300	375.9514	432.9200134	1999-01-03	1	3
1999	3	22	1.9	0	-6.052	-1.901	57.97	0	3.3	101300	375.9514	445.2200012	1999-01-03	1	3
1999	3	23	5.7	0	-6.184	-2.144	57.1	0	3.3	101300	375.9514	453.1400146	1999-01-03	1	3
1999	4	0	5.7	0	-6.402	-2.459	54.21	0	3.4	101300	375.9514	460.7999878	1999-01-04	1	4
1999	4	1	20.92	0	-6.667	-2.622	54.64	0	3.7	101300	375.9514	468.0799866	1999-01-04	1	4
1999	4	2	9.51	0	-6.971	-2.965	52.99	0	3.2	101300	375.9514	474.5799866	1999-01-04	1	4
1999	4	3	0	0	-7.147	-3.184	56.4	0	2.8	101300	375.9514	477.3299866	1999-01-04	1	4
1999	4	4	0	0	-7.491	-3.244	60.32	0	3.8	101300	375.9514	479.3999939	1999-01-04	1	4
1999	4	5	17.12	0	-8.012	-4.071	57.54	0	2.7	101300	375.9514	481.2999878	1999-01-04	1	4
1999	4	6	9.51	0	-8.091	-4.159	59.87	0	2.2	101300	375.9514	476.8999939	1999-01-04	1	4
1999	4	7	19.02	0	-8.242	-4.049	63.21	0	2.6	101300	375.9514	453.230011	1999-01-04	1	4
1999	4	8	36.13	93	-8.544	-4.506	64.41	0	2.4	101300	375.9514	418.7000122	1999-01-04	1	4
1999	4	9	108.41	193	-8.283	-4.405	64.46	0	2	101300	375.9514	394.980011	1999-01-04	1	4
1999	4	10	116.02	302	-7.812	-2.416	61.52	0	2.5	101300	375.9514	381.8900146	1999-01-04	1	4
1999	4	11	327.1	433	-7.153	-0.845	57.9	0	3.8	101300	375.9514	376.1199951	1999-01-04	1	4
1999	4	12	387.91	584	-6.217	0.067	51.13	0	2.8	101300	375.9514	372.2200012	1999-01-04	1	4
1999	4	13	422.05	377	-5.591	1.14	47.4	0	3.5	101300	375.9514	370	1999-01-04	1	4
1999	4	14	503.74	151	-4.73	1.831	45.54	0	3.6	101300	375.9514	368.7999878	1999-01-04	1	4
1999	4	15	254.67	123	-5.067	0.152	45.03	0	3.5	101300	375.9514	367.6499939	1999-01-04	1	4
1999	4	16	201.45	73	-4.875	0.209	42.07	0	3.5	101300	375.9514	367.7099915	1999-01-04	1	4
1999	4	17	112.14	7	-5.62	-1.176	44.3	0	3.6	101300	375.9514	371.2200012	1999-01-04	1	4
1999	4	18	24.71	0	-6.066	-2.128	48.08	0	3.2	101300	375.9514	381.3699951	1999-01-04	1	4
1999	4	19	9.51	0	-6.496	-2.541	55.23	0	2.6	101300	375.9514	399.8399963	1999-01-04	1	4
1999	4	20	3.8	0	-6.805	-2.965	55.18	0	2.6	101300	375.9514	416.9100037	1999-01-04	1	4
1999	4	21	3.8	0	-6.977	-3.42	51.84	0	2.6	101300	375.9514	432.9200134	1999-01-04	1	4
1999	4	22	11.41	0	-7.525	-3.845	60.58	0	2.5	101300	375.9514	445.2200012	1999-01-04	1	4
1999	4	23	17.12	0	-7.82	-3.689	61.87	0	2.2	101300	375.9514	453.1400146	1999-01-04	1	4
1999	5	0	17.12	0	-8.235	-4.581	63.35	0	2.3	101300	375.9514	460.7999878	1999-01-05	1	5
1999	5	1	13.31	0	-8.46	-4.092	64.52	0	2	101300	375.9514	468.0799866	1999-01-05	1	5
1999	5	2	20.92	0	-8.551	-4.135	65.95	0	1.7	101300	375.9514	474.5799866	1999-01-05	1	5
