x_obs,y_obs,y_mod
-1.18,3.483,5.2052281847
-1.18,3.269,5.2052281847
-1.18,3.319,5.2052281847
-1.18,3.554,5.2052281847
-1.179,1.474,5.2051557296
-1.18,2.908,5.2052281847
-1.18,2.598,5.2052281847
-1.18,4.2,5.2052281847
-1.18,3.908,5.2052281847
-1.18,6.633,5.2052281847
59.06,2.267,1.4462682578
161.3,-0.638,-3.000641432
281.7,-1.405,-6.4620009137
402.4,-3.956,-8.8558168253
539.8,-5.478,-10.8120069961
681.7,-9.867,-12.2982833349
817.2,-12.25,-13.3872974333
936.5,-12.337,-14.1598322531
1041,-11.376,-14.7295762712
1129,-11.296,-15.1479521277
1199,-11.048,-15.4473443456
1248,-10.048,-15.6415526802
1278,-10.689,-15.7547731397
1287,-11.19,-15.7879422383
1275,-8.628,-15.7436363636
1237,-9.896,-15.5989826303
1160,-9.07,-15.2839087948
1099,-6.23,-15.010936228
1012,-8.789,-14.5800720981
904.3,-7.946,-13.9655155163
779.4,-7.038,-13.1092099792
645.8,-5.199,-11.9613087774
503.8,-2.946,-10.3586071916
363.7,0.618,-8.173488561
214.6,-0.617,-4.7073405699
117.2,1.622,-1.3090938643
37.82,3.859,2.6464279831
3.693,6.593,4.8566970079
-1.217,6.326,5.207909295
-1.25,6.099,5.2103010033
-1.248,5.239,5.2101560393
-1.228,4.204,5.2087064842
-1.231,4.888,5.2089239075
-1.227,4.461,5.2086340105
-1.227,5.054,5.2086340105
-1.222,4.107,5.2082716479
-1.204,4.117,5.2069672228
-1.207,3.747,5.2071846182
-1.225,3.349,5.2084890643
-1.217,3.187,5.207909295
-1.196,4.211,5.2063875186
-1.207,4.147,5.2071846182
-1.2,3.288,5.2066773676
-1.24,4.047,5.2095761986
-1.191,4.113,5.2060252161
-1.183,6.054,5.2054455522
242.5,-4.239,-5.4832388664
236.6,-2.756,-5.3250621321
432,-11.838,-9.3335315985
201.1,0.76,-4.3049262281
257.1,-9.785,-5.861964879
168.9,-0.956,-3.2644456702
159.6,-1.914,-2.9406060606
152.9,-4.452,-2.7002311044
202,-2.001,-4.332339688
109,0.048,-0.9605785124
37.01,3.447,2.6946462465
-1.183,18.191,5.2054455522
-1.18,2.115,5.2052281847
